third	57
today	57
tree	57
Encanis	56
Wil	56
books	56
case	56
chair	56
clean	56
getting	56
isn't	56
masters	56
pressed	56
serious	56
sudden	56
taken	56
waiting	56
Like	55
attention	55
bright	55
either	55
fall	55
finger	55
flame	55
met	55
neck	55
outside	55
pair	55
paper	55
played	55
running	55
Arcanum	54
Come	54
Eolian	54
big	54
buy	54
cut	54
talent	54
walking	54
year	54
Selitos	53
Sovoy	53
blanket	53
burned	53
city	53
flat	53
headed	53
sorry	53
speak	53
stage	53
term	53
walk	53
won't	53
Dal	52
admitted	52
call	52
candle	52
catch	52
crowd	52
demons	52
feeling	52
filled	52
holding	52
kill	52
leaving	52
makes	52
matter	52
metal	52
river	52
saying	52
sense	52
smell	52
teeth	52
wild	52
To	51
care	51
children	51
direction	51
foot	51
gathered	51
knife	51
learned	51
names	51
rolled	51
sighed	51
six	51
Did	50
coming	50
easily	50
eat	50
empty	50
guess	50
line	50
noise	50
pay	50
reason	50
sky	50
sun	50
turn	50
alley	49
dropped	49
fellow	49
itself	49
person	49
sight	49
stop	49
suppose	49
tone	49
tonight	49
What's	48
beautiful	48
class	48
managed	48
move	48
pain	48
wheel	48
Two	47
able	47
above	47
also	47
business	47
conversation	47
five	47
heat	47
house	47
leaves	47
miles	47
months	47
noticed	47
pieces	47
read	47
Stanchion	46
evening	46
grinned	46
he'd	46
man's	46
moving	46
parents	46
power	46
strange	46
touch	46
try	46
watching	46
window	46
wine	46
Maybe	45
Of	45
chance	45
friend	45
handed	45
haven't	45
hill	45
hot	45
learn	45
nearby	45
seat	45
standing	45
street	45
By	44
More	44
Only	44
Re'lar	44
THE	44
Trebon	44
early	44
late	44
legs	44
pen	44
playing	44
ready	44
shoes	44
smoke	44
strings	44
travelsack	44
wearing	44
Arwyl	43
child	43
decided	43
forth	43
idea	43
laugh	43
odd	43
older	43
pick	43
simple	43
women	43
Reshi	42
apple	42
below	42
huge	42
shoulders	42
sweet	42
terrible	42
thin	42
touched	42
waited	42
weren't	42
wooden	42
you've	42
God	41
Where	41
You've	41
burst	41
expected	41
forced	41
green	41
killed	41
leather	41
none	41
tinker	41
waved	41
yet	41
Devi	40
Good	40
Nothing	40
With	40
beginning	40
cool	40
doors	40
gentle	40
given	40
giving	40
hoping	40
may	40
means	40
silent	40
stay	40
wagons	40
Abenthy	39
Fishery	39
Mola	39
Or	39
afraid	39
beside	39
careful	39
clever	39
expect	39
familiar	39
food	39
frowned	39
lips	39
love	39
mercenary	39
morning	39
themselves	39
twice	39
underneath	39
weight	39
worried	39
Chronicler's	38
Jake	38
Once	38
Threpe	38
Would	38
among	38
constable	38
deal	38
dry	38
fear	38
grabbed	38
lovely	38
passed	38
pipes	38
sang	38
shadow	38
stomach	38
throat	38
arcanist	37
certain	37
fresh	37
perfect	37
pushed	37
resin	37
rough	37
spread	37
stand	37
there's	37
thousand	37
ways	37
worked	37
worse	37
you'd	37
faint	36
hardly	36
herself	36
hurried	36
instead	36
knows	36
lifted	36
middle	36
minute	36
narrow	36
nice	36
quietly	36
remembered	36
secret	36
shaking	36
showed	36
singing	36
skin	36
straight	36
tight	36
trailed	36
whatever	36
Elxa	35
Skarpi	35
They're	35
Trapis	35
While	35
copper	35
courtyard	35
dangerous	35
exactly	35
firmly	35
guessed	35
home	35
important	35
known	35
laughing	35
parts	35
pennies	35
perhaps	35
pretty	35
son	35
steps	35
tae	35
taking	35
telling	35
thoughts	35
working	35
you'll	35
Can	34
Pike	34
Who	34
angry	34
beard	34
begin	34
bought	34
doorway	34
doubt	34
except	34
falling	34
father's	34
fit	34
led	34
loaf	34
relaxed	34
remained	34
sack	34
shop	34
smooth	34
stones	34
sweat	34
tuition	34
Here	33
Let	33
Though	33
aren't	33
break	33
brushed	33
cannot	33
circle	33
entirely	33
favor	33
grin	33
handful	33
hesitated	33
hide	33
hoped	33
hung	33
keeping	33
mayor	33
mine	33
obviously	33
offer	33
pocket	33
smelled	33
soft	33
taught	33
Bast's	32
Before	32
Besides	32
Finally	32
Most	32
People	32
aside	32
ate	32
audience	32
bare	32
coin	32
common	32
despite	32
forgotten	32
glad	32
happen	32
jots	32
lamps	32
leg	32
live	32
luck	32
motion	32
nose	32
note	32
round	32
seriously	32
sigh	32
threw	32
However	31
boys	31
bucket	31
building	31
difference	31
dinner	31
drinks	31
during	31
fought	31
having	31
hell	31
kind	31
lie	31
master	31
memory	31
moon	31
notice	31
penny	31
single	31
snapped	31
start	31
stick	31
they're	31
tired	31
turning	31
usually	31
walls	31
watch	31
Look	30
Medica	30
Schiem	30
anger	30
asking	30
busy	30
carried	30
cloth	30
debt	30
