serious	90
teeth	90
thin	90
family	89
later	89
anger	88
edge	88
fell	88
foot	88
herself	88
instead	88
paper	88
wooden	88
worth	88
bring	87
odd	87
soft	87
throat	87
Well	86
What’s	86
person	86
Bredon	85
He’s	85
finally	85
followed	85
he’d	85
past	85
simple	85
step	85
Caudicus	84
There’s	84
lost	84
Auri	83
line	83
love	83
talents	83
Ketan	82
Now	82
Of	82
Only	82
call	82
entire	82
he’s	82
holding	82
neck	82
quick	82
secret	82
strange	82
sudden	82
frowned	81
high	81
letter	81
town	81
you’d	81
above	80
care	80
familiar	80
leaves	80
move	80
near	80
nearly	80
tiny	80
alone	79
bow	79
flat	79
lips	79
others	79
term	79
today	79
child	78
nearby	78
perfect	78
played	78
showed	78
single	78
handed	77
killed	77
large	77
miles	77
pressed	77
speaking	77
Perhaps	76
bottle	76
floor	76
hesitated	76
learned	76
pocket	76
purse	76
span	76
student	76
Jax	75
Would	75
camp	75
knife	75
knows	75
outside	75
Penthe	74
Who	74
attention	74
corner	74
makes	74
pushed	74
quietly	74
school	74
short	74
thousand	74
worse	74
barely	73
catch	73
dead	73
hardly	73
hoping	73
seat	73
talking	73
Edema	72
city	72
entirely	72
fear	72
five	72
grey	72
heat	72
horse	72
names	72
sense	72
sigh	72
stop	72
tall	72
ways	72
wine	72
you’ve	72
angry	71
answer	71
believe	71
careful	71
coming	71
leaving	71
lot	71
pair	71
questions	71
rolled	71
running	71
stand	71
Cthaeh	70
expect	70
fall	70
firmly	70
giving	70
gold	70
important	70
saying	70
taken	70
cold	69
forced	69
glad	69
guess	69
idea	69
managed	69
playing	69
safe	69
weren’t	69
among	68
couple	68
direction	68
handful	68
inn	68
leg	68
patron	68
paused	68
spread	68
students	68
tone	68
touch	68
Did	67
Two	67
You’ve	67
court	67
desk	67
free	67
having	67
language	67
nice	67
return	67
slid	67
smooth	67
telling	67
wall	67
Dal	66
Good	66
dinner	66
eyebrow	66
passed	66
reason	66
smell	66
taking	66
Mola	65
Severen	65
grinned	65
learn	65
lifted	65
naked	65
note	65
Krin	64
Reshi	64
black	64
chance	64
deal	64
happened	64
means	64
sent	64
turn	64
Aturan	63
Come	63
Fae	63
Threpe	63
certain	63
expected	63
father	63
fit	63
fought	63
kill	63
known	63
led	63
lovely	63
may	63
pieces	63
stomach	63
wearing	63
Kote	62
Re’lar	62
fair	62
game	62
magic	62
pay	62
By	61
Nothing	61
break	61
curious	61
laughing	61
metal	61
noticed	61
power	61
sight	61
tight	61
try	61
Can	60
Imre	60
Meluan	60
While	60
brushed	60
exactly	60
explained	60
gentle	60
lady	60
smiling	60
stick	60
touched	60
wet	60
Before	59
Everyone	59
Like	59
beneath	59
broke	59
dry	59
early	59
feeling	59
grass	59
merely	59
noise	59
none	59
proper	59
terribly	59
waved	59
wore	59
blue	58
box	58
bread	58
dangerous	58
grin	58
ready	58
rubbed	58
sorry	58
worked	58
year	58
added	57
bought	57
cup	57
forth	57
happy	57
rain	57
shaking	57
teach	57
turning	57
ONE	56
On	56
aren’t	56
bandits	56
ear	56
forest	56
home	56
mercenary	56
path	56
round	56
sleeping	56
start	56
strong	56
Besides	55
Once	55
house	55
late	55
leather	55
polite	55
roof	55
startled	55
surprise	55
twice	55
Alveron’s	54
Chandrian	54
Where	54
pause	54
real	54
seems	54
sit	54
stay	54
sweat	54
waited	54
HUNDRED	53
Though	53
aside	53
barbarian	53
huge	53
hurt	53
month	53
six	53
twenty	53
willing	53
Celean	52
Taborlin	52
These	52
admissions	52
asking	52
ate	52
circle	52
class	52
despite	52
gathered	52
meet	52
older	52
rough	52
seriously	52
solid	52
straight	52
sun	52
tuition	52
An	51
Most	51
THE	51
beginning	51
bowl	51
burning	51
burst	51
church	51
difficult	51
eat	51
green	51
